"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"G.R.L.","3Yl4nkmEa8BSuGWbwhdLDq","girl group,post-teen pop,talent show",399468,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Galantis","4sTQVOfp9vEMCemLw50sbu","dance pop,edm,pop,pop dance,tropical house",3358802,73,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"Gareth Emery","0hprEC0nsWuQPSHag1O2Vi","edm,pop dance,progressive electro house,progressive house,trance",301008,57,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"GATTUSO","3PlRvQnVE3XAbtHUNc4nic","pop edm",36721,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gayla Peevey","1suIIDedjFJRuu8k7b55hZ","novelty",4155,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAYLE","2VSHKHBTiXWplO8lxcnUC9","modern alternative pop",575651,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene Autry","5ixB75BQR3ADoWQkcHQJTs","classic oklahoma country,cowboy western,traditional country,yodeling",60722,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Generation X","1inWec2E2UgfzMAhwjgTXe","glam punk,punk",112877,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Genesis","3CkvROUTQ6nRi9yQOcsB50","album rock,art rock,classic rock,hard rock,mellow gold,progressive rock,rock,soft rock,symphonic rock",3014501,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"George Michael","7nwUJBm0HE4ZxD3f5cy5ok","classic soul,jazz blues,memphis soul,soul,southern soul,vocal jazz",3138052,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Giorgio Moroder","6jU2Tt13MmXYk0ZBv1KmfO","disco",224135,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gladys Knight & The Pips","0TF2NxkJZPQoX1H53rEFM1","classic soul,disco,funk,motown,quiet storm,soul",1173586,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
